MUNICIPIO,Y,X,W1,W2,N
Rondonópolis,0.502,0.0416666667,0,0.1111111111,48
Cubatão,0.499,0.1063829787,0.0740740741,0.15,47
Itajubá,0.491,0.1489361702,0.12,0.1818181818,47
Pato Branco,0.483,0.085106383,0.0740740741,0.1,47
Ilhéus,0.486,0.085106383,0.0588235294,0.1538461538,47
Lajeado,0.486,0.152173913,0.125,0.1818181818,46
Itabira,0.48,0.1304347826,0.1333333333,0.125,46
Linhares,0.498,0.0869565217,0.1176470588,0,46
Embu,0.486,0.1086956522,0.0769230769,0.15,46
Santa Cruz,0.488,0.1333333333,0.08,0.2,45
Congonhas,0.491,0.1111111111,0.0769230769,0.1578947368,45
Itabuna,0.474,0.0666666667,0.0588235294,0.0909090909,45
Paulista,0.471,0.1333333333,0.0322580645,0.3571428571,45
Lauro de Freitas,0.485,0.1333333333,0.1724137931,0.0625,45
Santana de Parnaíba,0.493,0.1333333333,0.1111111111,0.1666666667,45
Coronel Fabriciano,0.483,0.0888888889,0.12,0.05,45
Içara,0.498,0.2045454545,0.15,0.25,44
Navegantes,0.498,0.2045454545,0.2608695652,0.1428571429,44
São José do Cerrito,0.518,0.1162790698,0.0833333333,0.1578947368,43
Cotia,0.49,0.1162790698,0.1,0.1538461538,43
Armação dos Búzios,0.499,0.1666666667,0,0.3043478261,42
Araxá,0.494,0.0476190476,0.0476190476,0.0476190476,42
Ilhota,0.504,0.119047619,0.1428571429,0.0952380952,42
Pouso Alegre,0.494,0.119047619,0.0454545455,0.2,42
Santa Terezinha de Itaipu,0.489,0.119047619,0.16,0.0588235294,42
Santa Luzia,0.485,0.0476190476,0.0625,0,42
Maracanaú,0.488,0.1707317073,0.1923076923,0.1333333333,41
Paulínia,0.495,0.1463414634,0.1363636364,0.1578947368,41
Colatina,0.486,0.1219512195,0.0869565217,0.1666666667,41
São João del Rei,0.48,0.1219512195,0.1,0.1818181818,41
Arujá,0.493,0.0487804878,0.037037037,0.0714285714,41
