MUNICIPIO,Y,X,W1,W2,N
Sete Lagoas,0.486,0.0102040816,0.0149253731,0,98
Guarapuava,0.489,0.0612244898,0.04,0.0833333333,98
Uruguaiana,0.486,0.1020408163,0.0217391304,0.1730769231,98
Marabá,0.506,0.0721649485,0.04,0.1063829787,97
Parnamirim,0.479,0.1041666667,0.0746268657,0.1724137931,96
Brusque,0.497,0.0416666667,0.0327868852,0.0571428571,96
Parnaíba,0.479,0.0625,0.0909090909,0,96
Belford Roxo,0.483,0.1368421053,0.1355932203,0.1388888889,95
Guarapari,0.489,0.0537634409,0.0555555556,0.0512820513,93
Itu,0.495,0.0860215054,0.0892857143,0.0810810811,93
Três Corações,0.496,0.0537634409,0.0454545455,0.0612244898,93
Teresópolis,0.478,0.0760869565,0.0727272727,0.0810810811,92
Itaguaí,0.499,0.1,0.1228070175,0.0606060606,90
Bento Gonçalves,0.491,0.0333333333,0,0.075,90
Bragança Paulista,0.491,0.0444444444,0.0196078431,0.0769230769,90
Maricá,0.492,0.0681818182,0.0697674419,0.0666666667,88
São José,0.483,0.1264367816,0.1627906977,0.0909090909,87
Franca,0.488,0.0459770115,0.0754716981,0,87
Taboão da Serra,0.478,0.0588235294,0.0416666667,0.0810810811,85
Rio Claro,0.487,0.0357142857,0.0217391304,0.0526315789,84
Ubatuba,0.497,0.1071428571,0.1304347826,0.0789473684,84
Santa Cruz do Sul,0.481,0.0120481928,0,0.03125,83
Magé,0.486,0.0609756098,0.0833333333,0.0434782609,82
Campos dos Goytacazes,0.481,0.0740740741,0.0227272727,0.1351351351,81
Petrolina,0.487,0.037037037,0.0175438596,0.0833333333,81
Itaboraí,0.487,0.1125,0.0980392157,0.1379310345,80
Valinhos,0.493,0.0625,0.0816326531,0.0322580645,80
Suzano,0.49,0.0128205128,0.0204081633,0,78
Torres,0.486,0.0641025641,0.0612244898,0.0689655172,78
Bagé,0.478,0.0512820513,0.0444444444,0.0606060606,78
Erechim,0.481,0.1025641026,0.0697674419,0.1428571429,78
Tubarão,0.485,0.1558441558,0.175,0.1351351351,77
Poços de Caldas,0.483,0.0394736842,0.0357142857,0.05,76
Barra do Piraí,0.476,0.0263157895,0.0444444444,0,76
Cotia,0.49,0.0789473684,0.0784313725,0.08,76
Guaíba,0.485,0.0133333333,0.025,0,75
Resende,0.487,0.0133333333,0.023255814,0,75
Esteio,0.483,0.095890411,0.0444444444,0.1785714286,73
Goiás,0.496,0.0547945205,0.027027027,0.0833333333,73
Patos de Minas,0.49,0.0694444444,0.085106383,0.04,72
Viçosa,0.485,0.1,0.12,0.0888888889,70
Juazeiro do Norte,0.474,0.0714285714,0.06,0.1,70
Imperatriz,0.482,0.0724637681,0.05,0.1034482759,69
Ouro Preto,0.488,0.0597014925,0.0681818182,0.0434782609,67
Capão da Canoa,0.49,0.0746268657,0.0882352941,0.0606060606,67
Rondonópolis,0.502,0.0597014925,0.0540540541,0.0666666667,67
Itapetininga,0.5,0.0757575758,0.0571428571,0.0967741935,66
Caraguatatuba,0.495,0.0923076923,0.1,0.08,65
Araras,0.494,0.0615384615,0.025,0.12,65
Carapicuíba,0.485,0.046875,0.027027027,0.0740740741,64
Varginha,0.487,0.03125,0,0.0740740741,64
Santa Terezinha de Itaipu,0.489,0.1428571429,0.2051282051,0.0416666667,63
Lauro de Freitas,0.485,0.1111111111,0.1,0.1304347826,63
Coronel Fabriciano,0.483,0.0327868852,0.0303030303,0.0357142857,61
Osório,0.493,0.0983606557,0.0689655172,0.125,61
Lavras,0.485,0.0491803279,0.0540540541,0.0416666667,61
Arraial do Cabo,0.492,0.1,0.1379310345,0.064516129,60
Itaubal,0.544,0.1,0.1282051282,0.0476190476,60
Conselheiro Lafaiete,0.484,0.05,0.05,0.05,60
São Borja,0.491,0.1666666667,0.15,0.2,60
Lajeado,0.486,0.1016949153,0.0882352941,0.12,59
Cubatão,0.499,0.0338983051,0.0285714286,0.0416666667,59
Ilhéus,0.486,0.0517241379,0.075,0,58
Salto,0.494,0.0172413793,0.03125,0,58
Porto,0.505,0.0344827586,0.0512820513,0,58
São Pedro da Aldeia,0.494,0.1052631579,0.0689655172,0.1428571429,57
Itajubá,0.491,0.0350877193,0.0571428571,0,57
Assis,0.487,0.1052631579,0.0909090909,0.125,57
Teófilo Otoni,0.478,0.1052631579,0.0833333333,0.1428571429,57
Santa Luzia,0.485,0.1052631579,0.1025641026,0.1111111111,57
Pato Branco,0.483,0.0357142857,0.0740740741,0,56
Araranguá,0.492,0.1071428571,0.1481481481,0.0689655172,56
Itabuna,0.474,0.1071428571,0.0975609756,0.1333333333,56
Toledo,0.489,0.0727272727,0,0.1538461538,55
Ilhota,0.504,0.0909090909,0.1212121212,0.0454545455,55
Itaperuna,0.486,0.0727272727,0.125,0,55
Ijuí,0.483,0.0555555556,0.1034482759,0,54
São José do Cerrito,0.518,0.0754716981,0.0588235294,0.1052631579,53
Linhares,0.498,0.0377358491,0.0526315789,0,53
Embu,0.486,0.0961538462,0.0384615385,0.1538461538,52
Itapema,0.489,0.0961538462,0.0666666667,0.1363636364,52
Rio do Sul,0.49,0.137254902,0.1212121212,0.1666666667,51
Paulista,0.471,0.137254902,0.1176470588,0.1764705882,51
Cachoeiro de Itapemirim,0.489,0.0784313725,0.0882352941,0.0588235294,51
São Mateus,0.495,0.0980392157,0.0625,0.1578947368,51
Garanhuns,0.471,0.0980392157,0.0303030303,0.2222222222,51
Carazinho,0.477,0.04,0.0769230769,0,50
Timóteo,0.482,0.14,0,0.2592592593,50
Pouso Alegre,0.494,0.08,0.0357142857,0.1363636364,50
Santana de Parnaíba,0.493,0.1,0.125,0.0555555556,50
Santa Rosa,0.488,0.12,0.0333333333,0.25,50
Maracanaú,0.488,0.08,0.0967741935,0.0526315789,50
Santa Cruz,0.488,0.06,0,0.1428571429,50
Camaçari,0.497,0.14,0.1428571429,0.1363636364,50
Sumaré,0.497,0.1,0.08,0.12,50
Santa Quitéria,0.501,0.0816326531,0.0909090909,0.0740740741,49
Itaquaquecetuba,0.493,0.1224489796,0.1388888889,0.0769230769,49
Itabira,0.48,0.0816326531,0.0882352941,0.0666666667,49
Cabo de Santo Agostinho,0.491,0.0408163265,0.0303030303,0.0625,49
Ourinhos,0.485,0.0816326531,0.0625,0.1176470588,49
Abreu e Lima,0.478,0.0416666667,0.0555555556,0,48
Santa Bárbara d'Oeste,0.496,0.1041666667,0.1034482759,0.1052631579,48
Araxá,0.494,0.0416666667,0,0.1176470588,48
Armação dos Búzios,0.499,0.0833333333,0.04,0.1304347826,48
Barretos,0.483,0.1041666667,0.0833333333,0.125,48
Santa Maria da Boa Vista,0.504,0.0625,0.08,0.0434782609,48
Colatina,0.486,0.0638297872,0.0666666667,0.0588235294,47
Barbacena,0.476,0.085106383,0.037037037,0.15,47
Caçapava,0.496,0.1304347826,0.1538461538,0.1,46
Lorena,0.483,0.0869565217,0.1,0.0625,46
Alexandria,0.49,0.0652173913,0,0.1,46
Farroupilha,0.492,0.0434782609,0.064516129,0,46
João Monlevade,0.476,0,0,0,46
Içara,0.498,0.1111111111,0.12,0.1,45
Paulínia,0.495,0.1777777778,0.1538461538,0.2105263158,45
Sabará,0.482,0.0666666667,0.04,0.1,45
Poá,0.484,0.0444444444,0.0689655172,0,45
Parauapebas,0.506,0.0444444444,0.03125,0.0769230769,45
Umuarama,0.485,0.0666666667,0,0.1111111111,45
Sobral,0.486,0.0444444444,0.0333333333,0.0666666667,45
Ribeirão das Neves,0.496,0.0909090909,0.125,0,44
Valença,0.48,0.2045454545,0.3529411765,0.1111111111,44
Alegrete,0.49,0.0681818182,0,0.1578947368,44
Saquarema,0.497,0.0454545455,0.0588235294,0.037037037,44
Lins,0.486,0.0227272727,0.037037037,0,44
Hortolândia,0.506,0.0454545455,0.0416666667,0.05,44
Muriaé,0.484,0.0454545455,0,0.0909090909,44
Camaquã,0.492,0.1363636364,0.0882352941,0.3,44
Sinop,0.509,0.0681818182,0.0357142857,0.125,44
Avaré,0.496,0.023255814,0.037037037,0,43
Imbituba,0.493,0.023255814,0.0416666667,0,43
Francisco Beltrão,0.494,0.1627906977,0.2,0.0769230769,43
Sapiranga,0.493,0.1627906977,0.16,0.1666666667,43
Itumbiara,0.493,0.023255814,0.0333333333,0,43
Birigui,0.488,0.1162790698,0.1071428571,0.1333333333,43
Vinhedo,0.495,0.0465116279,0.037037037,0.0625,43
Três Rios,0.478,0.0476190476,0,0.0833333333,42
Colombo,0.493,0.0714285714,0.0714285714,0.0714285714,42
Valparaíso de Goiás,0.486,0.0476190476,0,0.1111111111,42
Três Lagoas,0.496,0.0476190476,0.08,0,42
Arapiraca,0.476,0.0476190476,0.0606060606,0,42
Pindamonhangaba,0.492,0.0243902439,0,0.0555555556,41
Botucatu,0.485,0.0487804878,0.0769230769,0,41
São João del Rei,0.48,0.0975609756,0.0357142857,0.2307692308,41
Lagoa Santa,0.49,0,0,0,41
Vacaria,0.49,0.075,0.0909090909,0.0555555556,40
Santo Ângelo,0.48,0.1,0.0769230769,0.1428571429,40
Jaú,0.49,0.025,0.0384615385,0,40
Penha,0.499,0.075,0.1,0.05,40
Eldorado do Sul,0.495,0.2,0.1363636364,0.2777777778,40
Arujá,0.493,0.075,0.0322580645,0.2222222222,40
Santana,0.498,0.0769230769,0.0769230769,0.0769230769,39
Caieiras,0.489,0.1538461538,0.0909090909,0.2352941176,39
Itaúna,0.493,0.0256410256,0.0476190476,0,39
Araguaína,0.489,0,0,0,39
Campo Bom,0.491,0,0,0,39
Itatiba,0.494,0.1578947368,0.2173913043,0.0666666667,38
Ji-Paraná,0.496,0.0789473684,0.0555555556,0.1,38
Guaratinguetá,0.481,0.0526315789,0.0769230769,0,38
Leme,0.502,0.0263157895,0,0.0476190476,38
Itanhaém,0.485,0.1315789474,0.16,0.0769230769,38
Montenegro,0.492,0.1052631579,0.0909090909,0.125,38
Vespasiano,0.488,0.0789473684,0.0344827586,0.2222222222,38
Sapucaia do Sul,0.487,0.0263157895,0,0.125,38
Navegantes,0.498,0.1081081081,0.1578947368,0.0555555556,37
Bertioga,0.5,0.1081081081,0.1111111111,0.1052631579,37
Ibitinga,0.493,0.1351351351,0.1111111111,0.1578947368,37
Alfenas,0.489,0.027027027,0.04,0,37
Campos do Jordão,0.49,0.0540540541,0.0909090909,0,37
Várzea Grande,0.496,0.0810810811,0.0833333333,0.0769230769,37
Mogi Guaçu,0.496,0.0810810811,0.125,0,37
Caicó,0.484,0,0,0,37
Sertãozinho,0.497,0.1351351351,0.2380952381,0,37
Araucária,0.5,0.0810810811,0,0.1875,37
Santa Rita,0.483,0.1944444444,0.1304347826,0.3076923077,36
Congonhas,0.491,0.0555555556,0.05,0.0625,36
Tramandaí,0.483,0.1388888889,0.0869565217,0.2307692308,36
Tatuí,0.494,0.0277777778,0.04,0,36
Paranavaí,0.482,0.0285714286,0.0434782609,0,35
Videira,0.493,0.0571428571,0.0588235294,0.0555555556,35
Campo Mourão,0.482,0.0285714286,0,0.0666666667,35
Pinhais,0.486,0.1764705882,0.25,0.1111111111,34
Vassouras,0.476,0.1470588235,0.125,0.1666666667,34
Vila Rica,0.523,0.1176470588,0.1,0.1428571429,34
Vilhena,0.496,0.1176470588,0.05,0.2142857143,34
Jaguariúna,0.497,0,0,0,34
Castanhal,0.488,0.1176470588,0.0909090909,0.1666666667,34
Diamantina,0.485,0.1212121212,0.0869565217,0.2,33
São Lourenço,0.474,0.2121212121,0.2105263158,0.2142857143,33
São João da Boa Vista,0.485,0.0303030303,0,0.0625,33
Crato,0.475,0.0303030303,0.0454545455,0,33
Curvelo,0.487,0.0606060606,0.0833333333,0,33
Panambi,0.5,0.0625,0.037037037,0.2,32
Ilhabela,0.508,0.15625,0.0625,0.25,32
Itabirito,0.492,0.03125,0.0454545455,0,32
Paracambi,0.505,0.03125,0,0.0909090909,32
São Lourenço da Mata,0.486,0.0625,0.0454545455,0.1,32
Apucarana,0.485,0.09375,0.1052631579,0.0769230769,32
Caucaia,0.49,0.03125,0,0.1428571429,32
Taquara,0.492,0.03125,0.0555555556,0,32
Tucuruí,0.498,0.0625,0.0555555556,0.0714285714,32
Catanduva,0.486,0.09375,0.12,0,32
Marau,0.496,0.09375,0.05,0.1666666667,32
Itapevi,0.492,0.0322580645,0,0.0833333333,31
Ibirité,0.49,0.0322580645,0.05,0,31
Barra do Garças,0.498,0.1290322581,0.1111111111,0.1538461538,31
Luziânia,0.499,0.064516129,0.0833333333,0,31
Cruzeiro,0.487,0.0322580645,0,0.0909090909,31
