MUNICIPIO,Y,X,W1,W2,N
Arapiraca,0.711,0.0476190476,0.0238095238,0.0476190476,63
Vacaria,0.619,0.0793650794,0.0727272727,0,63
Itanhaém,0.613,0.1451612903,0.1944444444,0.0384615385,62
Muriaé,0.617,0.064516129,0.0638297872,0,62
Lorena,0.627,0.1129032258,0.119047619,0.05,62
Santa Maria da Boa Vista,0.754,0.0655737705,0.0517241379,0,61
Arujá,0.677,0.0491803279,0.0444444444,0.0625,61
Várzea Grande,0.72,0.1147540984,0.125,0.0476190476,61
Lagoa Santa,0.646,0.0819672131,0.0909090909,0,61
Alexandria,0.631,0.0819672131,0.0816326531,0,61
Santo Ângelo,0.599,0.15,0.1304347826,0.1428571429,60
Mogi Guaçu,0.625,0.0666666667,0.0612244898,0,60
Sabará,0.67,0.1333333333,0.1458333333,0,60
Sapiranga,0.664,0.15,0.1458333333,0.0833333333,60
João Monlevade,0.61,0.0666666667,0.0377358491,0.1428571429,60
Lins,0.598,0.1,0.1111111111,0,60
Tramandaí,0.61,0.1666666667,0.1860465116,0.0588235294,60
Itatiba,0.637,0.1833333333,0.1489361702,0.2307692308,60
Cruzeiro,0.621,0.0847457627,0.085106383,0,59
Caieiras,0.674,0.1694915254,0.1136363636,0.2666666667,59
Farroupilha,0.618,0.0677966102,0.06,0,59
Campo Mourão,0.635,0.0677966102,0.0652173913,0,59
São João del Rei,0.585,0.1355932203,0.1666666667,0,59
Sinop,0.73,0.0862068966,0.0638297872,0.0909090909,58
Caicó,0.641,0.0526315789,0.0606060606,0,57
Guaratinguetá,0.608,0.0877192982,0.0833333333,0,57
Campo Bom,0.63,0.1228070175,0.125,0,57
Leme,0.658,0.0892857143,0.1162790698,0,56
Montenegro,0.62,0.125,0.1086956522,0.2,56
Santana,0.797,0.0892857143,0.0731707317,0.0666666667,56
Pindamonhangaba,0.654,0.0892857143,0.1025641026,0,56
Ji-Paraná,0.709,0.0892857143,0.1219512195,0,56
Avaré,0.63,0.0535714286,0.0243902439,0.0666666667,56
Ibitinga,0.623,0.1428571429,0.119047619,0.2142857143,56
Alfenas,0.625,0.0892857143,0.085106383,0,56
Itumbiara,0.626,0.0357142857,0.023255814,0,56
Itaúna,0.621,0.0545454545,0.0434782609,0,55
Bertioga,0.711,0.2,0.1860465116,0.1666666667,55
Santa Rita,0.7,0.1454545455,0.0666666667,0.2,55
Ribeirão das Neves,0.713,0.0909090909,0.05,0.1333333333,55
Valparaíso de Goiás,0.763,0.0363636364,0.0526315789,0,55
Sertãozinho,0.658,0.1272727273,0.1111111111,0.1052631579,55
São João da Boa Vista,0.582,0.0925925926,0.0930232558,0,54
Araucária,0.703,0.1111111111,0.1136363636,0,54
Araguaína,0.745,0.0555555556,0.0476190476,0,54
Pinhais,0.684,0.1296296296,0.1142857143,0.1578947368,54
Vinhedo,0.626,0.0754716981,0.0697674419,0,53
Itapevi,0.726,0.0566037736,0.0465116279,0,53
Videira,0.66,0.0754716981,0.0769230769,0,53
Castanhal,0.749,0.1320754717,0.0975609756,0.1666666667,53
Eldorado do Sul,0.662,0.1923076923,0.1956521739,0.1666666667,52
Parintins,0.783,0.0384615385,0.0540540541,0,52
Diamantina,0.675,0.1153846154,0.0555555556,0.1875,52
Tatuí,0.65,0.0961538462,0.0967741935,0.0476190476,52
Ilhabela,0.697,0.0980392157,0.0975609756,0.1,51
Vilhena,0.722,0.0980392157,0.0714285714,0.2222222222,51
Laguna,0.585,0.1568627451,0.125,0.1818181818,51
Vespasiano,0.71,0.0980392157,0.1142857143,0,51
Caucaia,0.724,0.1176470588,0.0344827586,0.1818181818,51
Campos do Jordão,0.67,0.0784313725,0.0571428571,0.0625,51
Paranavaí,0.609,0.0612244898,0.0555555556,0,49
Pirassununga,0.599,0.1224489796,0.1176470588,0.0666666667,49
Curvelo,0.639,0.0816326531,0.0833333333,0,49
São Lourenço,0.592,0.1875,0.2,0.1111111111,48
Paracambi,0.603,0.0416666667,0.025,0,48
Apucarana,0.625,0.1063829787,0.0810810811,0.1,47
Panambi,0.637,0.085106383,0.0588235294,0.0769230769,47
Marau,0.639,0.1063829787,0.1081081081,0,47
Jaguariúna,0.659,0.0638297872,0.0243902439,0.1666666667,47
Taquara,0.609,0.0638297872,0.0666666667,0,47
Jaguarão,0.566,0.170212766,0.1219512195,0.3333333333,47
Rio Bonito,0.632,0.0434782609,0.0294117647,0,46
Luziânia,0.747,0.0652173913,0,0.125,46
Votorantim,0.668,0.1304347826,0.1785714286,0,46
Patos,0.685,0.0869565217,0.0714285714,0.0555555556,46
São Lourenço da Mata,0.694,0.1333333333,0.0740740741,0.1666666667,45
