MUNICIPIO,Y,X,W1,W2,N
Nova Odessa,0.632,0.2058823529,0.25,0,34
Apucarana,0.625,0.1176470588,0.0869565217,0.0909090909,34
Passos,0.621,0.0588235294,0.05,0,34
Diamantina,0.675,0.1764705882,0.15,0.2142857143,34
Taquara,0.609,0.0588235294,0.0555555556,0,34
João Monlevade,0.61,0.1176470588,0.1153846154,0.125,34
Itaúna,0.621,0.0588235294,0,0.0909090909,34
Jaguariúna,0.659,0.1764705882,0.1153846154,0.25,34
Tatuí,0.65,0.1764705882,0.2666666667,0.0526315789,34
Vinhedo,0.626,0.0882352941,0.0833333333,0,34
Ibirité,0.718,0.0909090909,0.0555555556,0.0666666667,33
Ilhabela,0.697,0.125,0.1,0.0833333333,32
Votuporanga,0.582,0.125,0.0454545455,0.2,32
Pinhais,0.684,0.21875,0.2666666667,0.1764705882,32
Biguaçu,0.673,0.15625,0.0769230769,0.3333333333,32
Porto Seguro,0.764,0.09375,0.0625,0.0625,32
Rio Bonito,0.632,0.0625,0.0555555556,0,32
Araguaína,0.745,0.0625,0.0952380952,0,32
Mariana,0.683,0.0967741935,0.0625,0.0666666667,31
Anchieta,0.661,0.2258064516,0.2,0.2727272727,31
São Francisco do Sul,0.632,0.0967741935,0.0526315789,0.0833333333,31
São Sebastião,0.693,0.2258064516,0.1875,0.2,31
Jaguarão,0.566,0.2258064516,0.2,0.1666666667,31
Votorantim,0.668,0.1612903226,0.3333333333,0,31
Luziânia,0.747,0.064516129,0,0.0625,31
Catanduva,0.584,0.064516129,0,0.1,31
Rio Grande,0.605,0.1290322581,0.15,0,31
Pirassununga,0.599,0.1290322581,0.1333333333,0.0625,31
Tucuruí,0.783,0.1,0.0454545455,0.125,30
Castanhal,0.749,0.2,0.2307692308,0.1764705882,30
Sombrio,0.659,0.2,0.0555555556,0.3333333333,30
Cachoeira do Sul,0.553,0.1333333333,0.2142857143,0,30
Paranavaí,0.609,0.1333333333,0.2352941176,0,30
União da Vitória,0.651,0.1,0.0555555556,0.0833333333,30
Cruz Alta,0.6,0.0689655172,0.0416666667,0,29
Crato,0.692,0.1379310345,0.2857142857,0,29
Gaspar,0.66,0.1379310345,0.1578947368,0,29
Itararé,0.652,0.1034482759,0,0.125,29
Itapecerica da Serra,0.709,0.0689655172,0,0.0714285714,29
Santa Teresa,0.602,0.1071428571,0.05,0.125,28
Mongaguá,0.612,0.0714285714,0.0769230769,0,28
Paracambi,0.603,0.0714285714,0.0476190476,0,28
Vilhena,0.722,0.1071428571,0,0.2,28
São Lourenço da Mata,0.694,0.1071428571,0,0.125,28
Ponte Nova,0.611,0.1785714286,0.1875,0.1666666667,28
Barcelona,0.634,0.0714285714,0.1111111111,0,28
Cosmópolis,0.671,0.3214285714,0.3684210526,0.2222222222,28
Itapeva,0.67,0.0357142857,0.0625,0,28
Registro,0.65,0.0740740741,0.05,0,27
Laguna,0.585,0.2962962963,0.3333333333,0.1666666667,27
Maracanã,0.731,0.2962962963,0.2173913043,0.5,27
Vila Rica,0.741,0.1111111111,0.0416666667,0.3333333333,27
Santa Isabel,0.65,0.2592592593,0.1666666667,0.3333333333,27
Sobradinho,0.709,0.1481481481,0.1875,0,27
Patos,0.685,0.1111111111,0,0.1176470588,27
Garopaba,0.627,0.2307692308,0.1111111111,0.375,26
Urussanga,0.581,0.2307692308,0.2142857143,0.25,26
Cianorte,0.633,0.1153846154,0.0625,0.1,26
Matinhos,0.621,0.1923076923,0.2,0.1818181818,26
Pará de Minas,0.648,0.1153846154,0.0555555556,0.125,26
São Gabriel,0.587,0.1538461538,0.1176470588,0.1111111111,26
São Sebastião do Paraíso,0.622,0.12,0.0769230769,0.0833333333,25
Iguape,0.606,0.16,0.0952380952,0.25,25
Corumbá,0.699,0.08,0.0555555556,0,25
Paraíba do Sul,0.606,0.16,0.1538461538,0.0833333333,25
Canela,0.652,0.24,0.25,0,25
Garibaldi,0.582,0.24,0.2352941176,0.125,25
Santa Maria da Boa Vista,0.754,0.16,0.1363636364,0,25
Serra Negra,0.567,0.2,0.0714285714,0.2727272727,25
Cajamar,0.715,0.2,0.0666666667,0.3,25
Barreiras,0.748,0.2,0.1428571429,0.1818181818,25
Caçador,0.673,0.0833333333,0.1538461538,0,24
Venâncio Aires,0.581,0.0833333333,0.0476190476,0,24
Barra do Garças,0.673,0.125,0.1538461538,0.0909090909,24
Franco da Rocha,0.705,0.0416666667,0.0625,0,24
Indaial,0.666,0.125,0.0588235294,0.1428571429,24
Guaxupé,0.604,0.0833333333,0.0666666667,0,24
Pontal do Paraná,0.603,0.1666666667,0.1538461538,0.0909090909,24
Sousa,0.661,0.0833333333,0.2,0,24
Marataízes,0.65,0.25,0.1764705882,0.2857142857,24
Joaçaba,0.612,0.1666666667,0.1333333333,0.2222222222,24
Jequié,0.675,0.0833333333,0,0.0666666667,24
Jaboticabal,0.61,0.0833333333,0,0.0769230769,24
Caxias,0.714,0.1666666667,0.1538461538,0.0909090909,24
Panamá,0.579,0.0833333333,0.0588235294,0,24
Além Paraíba,0.591,0.1739130435,0.1578947368,0,23
Teixeira de Freitas,0.708,0.0869565217,0.0909090909,0,23
Faro,0.781,0.1739130435,0.1333333333,0.25,23
São Bento do Sul,0.674,0.1304347826,0.1,0.0769230769,23
Eldorado do Sul,0.662,0.2173913043,0.1764705882,0.1666666667,23
Grajaú,0.777,0.1304347826,0,0.1666666667,23
Jandira,0.71,0.1739130435,0.0909090909,0.25,23
Boituva,0.671,0.1304347826,0.0769230769,0.1,23
Camaragibe,0.676,0.1304347826,0.1333333333,0,23
Cruzeiro do Sul,0.799,0.1739130435,0.1666666667,0.0909090909,23
Patrocínio,0.653,0.0434782609,0,0,23
Patrocínio Paulista,0.642,0.1818181818,0.0833333333,0.2,22
Coimbra,0.596,0.0454545455,0,0,22
Santos Dumont,0.592,0.1363636364,0.1333333333,0,22
Piedade,0.632,0.1363636364,0.2307692308,0,22
Olaria,0.555,0.1363636364,0.1428571429,0,22
Matão,0.62,0.1818181818,0.1111111111,0.1538461538,22
Amparo,0.597,0.1818181818,0.1176470588,0.2,22
Lagarto,0.692,0.1818181818,0.3333333333,0.0625,22
Sarandi,0.669,0.2727272727,0.1428571429,0.375,22
Portão,0.641,0.1818181818,0.125,0.1666666667,22
Picos,0.685,0.0909090909,0.1666666667,0,22
Caldas Novas,0.684,0.1363636364,0.2222222222,0.0769230769,22
Canoinhas,0.651,0.0952380952,0.0769230769,0,21
Batatais,0.607,0.1428571429,0.0666666667,0.1666666667,21
Nova Serrana,0.778,0.1428571429,0.1428571429,0,21
Forquilhinha,0.691,0.3333333333,0.2307692308,0.5,21
Ferraz de Vasconcelos,0.704,0.1428571429,0.1764705882,0,21
Braga,0.58,0.1428571429,0.1666666667,0.0666666667,21
Guararapes,0.59,0.0952380952,0.0833333333,0,21
Serra Talhada,0.694,0.0952380952,0.0625,0,21
Laranjeiras do Sul,0.655,0.2380952381,0.1818181818,0.2,21
Cocal do Sul,0.626,0.0952380952,0.0833333333,0.1111111111,21
Irati,0.636,0.2380952381,0.1428571429,0.2857142857,21
Itabirito,0.648,0.0952380952,0.0833333333,0.1111111111,21
Juazeiro,0.729,0.0476190476,0.0833333333,0,21
Francisco Morato,0.722,0.1428571429,0.0769230769,0.125,21
Iguatu,0.657,0.0952380952,0.1,0.0909090909,21
Arapongas,0.632,0.0952380952,0.0714285714,0.1428571429,21
Cataguases,0.584,0.15,0.0833333333,0.125,20
Rolândia,0.626,0.1,0.1428571429,0,20
