MUNICIPIO,Y,X,W1,W2,N
Tubarão,0.601,0.1142857143,0.1304347826,0.0555555556,105
Sete Lagoas,0.651,0.0380952381,0.0405405405,0,105
Marabá,0.78,0.0666666667,0.0789473684,0.0344827586,105
Ubatuba,0.668,0.1442307692,0.1486486486,0.1,104
Belford Roxo,0.667,0.1346153846,0.1739130435,0.0571428571,104
Teresópolis,0.616,0.1067961165,0.0862068966,0.1333333333,103
Rio Claro,0.613,0.0873786408,0.095890411,0.0333333333,103
Parnamirim,0.706,0.1188118812,0.0961538462,0.1224489796,101
Itu,0.65,0.1089108911,0.1204819277,0,101
Parnaíba,0.692,0.05,0.0285714286,0.1,100
São José,0.651,0.12,0.1206896552,0.0952380952,100
Petrolina,0.747,0.08,0.0714285714,0.0681818182,100
Santa Cruz do Sul,0.596,0.05,0.0434782609,0.0322580645,100
Taboão da Serra,0.691,0.0918367347,0.0535714286,0.119047619,98
Guarapari,0.654,0.0918367347,0.1126760563,0,98
Barra Mansa,0.61,0.0824742268,0.0882352941,0.0344827586,97
Três Corações,0.652,0.0520833333,0.0563380282,0,96
Erechim,0.617,0.125,0.0933333333,0.1904761905,96
Maricá,0.599,0.085106383,0.0655737705,0.0909090909,94
Suzano,0.679,0.0425531915,0.0327868852,0.0303030303,94
Torres,0.589,0.1276595745,0.1267605634,0.0869565217,94
Itaboraí,0.65,0.1720430108,0.1408450704,0.2272727273,93
Poços de Caldas,0.609,0.064516129,0.05,0.0606060606,93
Viçosa,0.638,0.1208791209,0.1142857143,0.1428571429,91
Bento Gonçalves,0.601,0.0989010989,0.0746268657,0.125,91
Campos dos Goytacazes,0.639,0.1,0.1,0.0666666667,90
Bagé,0.6,0.0449438202,0.0317460317,0.0769230769,89
Itaguaí,0.67,0.1235955056,0.0724637681,0.25,89
Juazeiro do Norte,0.711,0.0909090909,0.0188679245,0.1714285714,88
Caraguatatuba,0.654,0.1034482759,0.0754716981,0.1176470588,87
Magé,0.655,0.1395348837,0.1333333333,0.1153846154,86
Resende,0.639,0.0588235294,0.0517241379,0.037037037,85
Varginha,0.635,0.0595238095,0.0576923077,0.0625,84
Goiás,0.601,0.0476190476,0.0535714286,0,84
Itabuna,0.663,0.0975609756,0.0697674419,0.1025641026,82
Carapicuíba,0.692,0.0897435897,0.0576923077,0.1538461538,78
Itapetininga,0.657,0.1538461538,0.1509433962,0.12,78
São Borja,0.605,0.1351351351,0.1666666667,0,74
Patos de Minas,0.618,0.0810810811,0.0714285714,0.0555555556,74
Esteio,0.613,0.0821917808,0.0961538462,0,73
Coronel Fabriciano,0.645,0.0684931507,0.0740740741,0.0526315789,73
Rondonópolis,0.695,0.0821917808,0.0925925926,0.0526315789,73
Santa Terezinha de Itaipu,0.659,0.1095890411,0.1176470588,0.0909090909,73
Garanhuns,0.693,0.0410958904,0.0454545455,0,73
Imperatriz,0.728,0.0547945205,0.0625,0,73
Araras,0.618,0.1388888889,0.1509433962,0.0526315789,72
Santa Quitéria,0.673,0.1971830986,0.2307692308,0.125,71
Barra do Piraí,0.596,0.0845070423,0.0909090909,0,71
Itaubal,0.803,0.1,0.1052631579,0.0625,70
Capão da Canoa,0.647,0.1285714286,0.125,0.1333333333,70
Lavras,0.619,0.0869565217,0.1063829787,0,69
Toledo,0.65,0.0579710145,0.04,0.1052631579,69
Cotia,0.683,0.0882352941,0.0769230769,0.125,68
Timóteo,0.632,0.223880597,0.2444444444,0.1363636364,67
Paulista,0.655,0.1194029851,0.1463414634,0.0769230769,67
Linhares,0.7,0.0757575758,0.0789473684,0.0357142857,66
Santa Luzia,0.692,0.0909090909,0.119047619,0.0416666667,66
Conselheiro Lafaiete,0.626,0.0615384615,0.0769230769,0,65
Camaçari,0.742,0.1692307692,0.1081081081,0.2142857143,65
Ouro Preto,0.645,0.1230769231,0.1219512195,0.0833333333,65
Porto,0.755,0.15625,0.1578947368,0.1153846154,64
Itajubá,0.619,0.125,0.1428571429,0.0454545455,64
