MUNICIPIO,Y,X,W1,W2,N
Timbó,0.621,0.08,0.0625,0,25
Nova Serrana,0.778,0.2,0.2222222222,0,25
Mongaguá,0.612,0.04,0,0,25
Aparecida,0.621,0.12,0.125,0,25
Ponta Porã,0.707,0.12,0.0434782609,0.5,25
Ferraz de Vasconcelos,0.704,0.2,0.2,0.2,25
Guaxupé,0.604,0.08,0,0.0909090909,25
Santos Dumont,0.592,0.16,0.15,0,25
Cruzeiro do Sul,0.799,0.2,0.2142857143,0.0909090909,25
Arapongas,0.632,0.16,0.1111111111,0.1428571429,25
Além Paraíba,0.591,0.12,0.1428571429,0,25
Camaragibe,0.676,0.16,0.1666666667,0,25
Guarabira,0.679,0.08,0.0625,0,25
Pontal do Paraná,0.603,0.12,0.0714285714,0.0909090909,25
Batatais,0.607,0.125,0.0555555556,0.1666666667,24
Carlos Barbosa,0.594,0.1666666667,0.1578947368,0.2,24
Olaria,0.555,0.0416666667,0,0,24
Laranjeiras do Sul,0.655,0.1666666667,0.0666666667,0.2222222222,24
Paraíba do Sul,0.606,0.25,0.2857142857,0.1,24
Sousa,0.661,0.0416666667,0.2,0,24
Serra Talhada,0.694,0.0833333333,0.0526315789,0,24
Xangri-lá,0.658,0.125,0,0.1666666667,24
Unaí,0.675,0.0833333333,0.0769230769,0,24
Matão,0.62,0.1666666667,0.1111111111,0.1333333333,24
Caratinga,0.645,0.0833333333,0.0714285714,0,24
Andradina,0.584,0.125,0.0666666667,0.1111111111,24
Goiatuba,0.627,0.1666666667,0.2,0,24
